tweet,sentiment
grandpa,Negative
funni,Negative
bernie2020,Neutral
sensand,Neutral
success,Neutral
tulsigabbard,Neutral
green,Neutral
landslid,Neutral
thingpictwittercommz5bpw2olj,Neutral
glad,Neutral
mandatori,Strong Negative
vs,Strong Negative
third,Neutral
iowacaucuses2020,Neutral
cast,Neutral
ment,Strong Negative
exclud,Strong Negative
type,Strong Negative
ape,Strong Negative
root,Strong Negative
cop,Positive
breakthrough,Positive
iowacaucusdisast,Positive
iowacaucuses2020pictwittercomeiaydgt4pv,Positive
itttt,Neutral
describ,Negative
medicin,Negative
truli,Negative
govern,Negative
center,Negative
insur,Negative
doctor,Negative
andrewyang,Strong Negative
andrew,Strong Negative
unfit,Strong Negative
jackson,Strong Negative
rio,Strong Negative
holm,Strong Negative
doesput,Positive
lavish,Neutral
prais,Neutral
regim,Neutral
cuba,Neutral
sandinista,Neutral
soviet,Neutral
advisor,Neutral
sirota,Neutral
wrote,Neutral
gem,Neutral
2013,Neutral
salon,Neutral
unmitig,Neutral
pictwittercom5j0bnk62xx,Neutral
cuban,Neutral
nicaraguan,Neutral
venezuelan,Neutral
ecuadorian,Neutral
home,Neutral
famili,Neutral
enemi,Strong Negative
douch,Strong Negative
listen,Strong Negative
rhetor,Strong Negative
level,Strong Negative
ya,Neutral
realiz,Neutral
def,Neutral
gyal,Neutral
na,Neutral
decent,Neutral
inna,Neutral
momma,Neutral
court,Neutral
case,Neutral
lever,Neutral
amo,Positive
nor,Neutral
assum,Neutral
cycl,Neutral
indisput,Neutral
tune,Neutral
season,Neutral
begun,Neutral
justifi,Strong Negative
misogyni,Strong Negative
rich,Strong Negative
men,Strong Negative
thinker,Strong Negative
dakota,Strong Negative
visit,Strong Negative
theyr,Strong Negative
dime,Strong Negative
afraid,Negative
naveedajamali,Negative
washington,Negative
puerto,Negative
rico,Negative
north,Negative
represent,Negative
pr,Negative
billclinton,Neutral
georgia,Neutral
contest,Neutral
harkin,Neutral
brown,Neutral
tsonga,Neutral
four,Neutral
main,Neutral
hunt,Neutral
korang,Neutral
team,Neutral
bawal,Neutral
lover,Neutral
ke,Neutral
tuwwww,Neutral
ni,Neutral
antara,Neutral
warna,Neutral
wajib,Neutral
ada,Neutral
dalam,Neutral
wardrob,Neutral
baru,Neutral
collect,Neutral
giveawayi,Neutral
hanya,Neutral
perlu,Neutral
winner,Neutral
jangan,Neutral
luper,Neutral
ig,Neutral
dakotascarf,Neutral
pictwittercomfo25isqbe0,Neutral
england,Neutral
bob,Neutral
kerrey,Neutral
nebraska,Neutral
comfort,Neutral
neighbor,Neutral
2nd,Neutral
viabl,Neutral
unlik,Neutral
decim,Neutral
ripleydakota,Neutral
quarter,Neutral
mall,Neutral
forb,Neutral
gaug,Neutral
consist,Neutral
sustain,Neutral
growth,Neutral
10year,Neutral
window,Neutral
2007,Neutral
recess,Neutral
2017,Neutral
gdp,Neutral
texa,Neutral
immor,Neutral
preznota,Neutral
effect,Neutral
rudi,Neutral
deeper,Neutral
focus,Neutral
meddl,Neutral
intellectu,Neutral
humbl,Neutral
iowasouth,Neutral
farmer,Neutral
father,Neutral
given,Neutral
msss,Neutral
bobbi,Neutral
kennedi,Neutral
assassin,Neutral
june,Neutral
editori,Neutral
newspap,Neutral
allud,Neutral
2018,Neutral
aca,Neutral
purpl,Neutral
messag,Neutral
avoid,Neutral
alabama,Neutral
va,Neutral
missouri,Neutral
arizona,Neutral
florida,Neutral
tend,Negative
mix,Negative
similar,Negative
secret,Negative
meet,Negative
mitt,Negative
loser,Negative
join,Negative
doubleagentdemocrat,Negative
mccain,Negative
clicketi,Neutral
clack,Neutral
behalf,Neutral
222,Neutral
229,Neutral
carolina,Neutral
33,Neutral
310,Neutral
n,Neutral
michigan,Neutral
mississippi,Neutral
314,Neutral
northern,Neutral
mariana,Neutral
13,Neutral
went,Neutral
higher,Neutral
figur,Neutral
30,Neutral
28,Neutral
2627,Neutral
incred,Negative
error,Negative
nice,Neutral
folk,Neutral
strategi,Neutral
bouquet,Neutral
basebal,Neutral
bat,Neutral
juliemason,Neutral
potuspresspool,Neutral
biggest,Positive
risk,Positive
frustrat,Negative
bs,Negative
chart,Negative
constantli,Negative
backped,Negative
senatorromney,Positive
health,Positive
belief,Positive
judgement,Positive
prove,Negative
democratsocialist,Negative
collegeprov,Negative
individu,Negative
compar,Negative
outcom,Negative
yesthey,Positive
primarycaucuseswhich,Positive
enter,Positive
latethey,Positive
fellow,Positive
candidatethey,Positive
oxygen,Positive
realtheyr,Positive
scare,Positive
presum,Neutral
magazin,Strong Negative
photospread,Strong Negative
accompani,Strong Negative
caption,Strong Negative
bland,Strong Negative
sizzl,Strong Negative
donat,Positive
sox,Negative
mookiepric,Negative
gravel,Neutral
humili,Neutral
caus,Negative
complain,Negative
relianc,Negative
remind,Negative
jeb,Negative
crash,Positive
sell,Positive
santorum,Positive
gingrich,Positive
situat,Positive
import,Positive
asap,Positive
pictwittercom4doqstneh8,Positive
magat,Strong Negative
bog,Strong Negative
instruct,Strong Negative
unless,Strong Negative
caucusforyang,Positive
employ,Neutral
strat,Neutral
poc,Neutral
offens,Neutral
gay,Neutral
test,Neutral
clear,Neutral
crush,Neutral
pinprick,Neutral
daili,Negative
bare,Negative
peg,Negative
awesom,Neutral
airway,Strong Negative
invad,Strong Negative
collud,Strong Negative
provid,Strong Negative
honestli,Neutral
around,Neutral
argument,Neutral
iowaand,Neutral
berniebuttigiegwarrenklobuchar,Neutral
although,Neutral
assumpt,Neutral
peev,Negative
unrel,Negative
karen,Negative
publicli,Negative
execut,Negative
400,Negative
narr,Neutral
averag,Neutral
indic,Neutral
poorest,Positive
asid,Negative
frisk,Negative
wave,Negative
privaci,Negative
approv,Negative
email,Negative
enforc,Negative
switch,Negative
gw,Negative
bush,Negative
disavow,Negative
brought,Negative
coffin,Negative
mock,Negative
loss,Negative
interest,Negative
share,Negative
sexist,Negative
opinion,Neutral
tdw,Neutral
plain,Neutral
acquaint,Neutral
ballot,Neutral
faq,Neutral
session,Neutral
holder,Neutral
grove,Neutral
librari,Neutral
5520,Neutral
19th,Neutral
street,Neutral
lubbock,Neutral
tx,Neutral
79407,Neutral
pictwittercomt0h415sjiv,Neutral
pictwittercomk32a3yny0o,Neutral
joint,Neutral
incom,Neutral
file,Neutral
1m,Neutral
skeleton,Neutral
baggag,Neutral
becam,Neutral
acclam,Neutral
bailout,Neutral
public,Neutral
match,Neutral
integr,Neutral
mariann,Neutral
williamson,Neutral
mirror,Negative
volum,Strong Positive
crew,Strong Positive
grate,Strong Positive
prioriti,Strong Negative
fascism,Strong Negative
near,Negative
ralli,Strong Negative
face,Strong Negative
poni,Strong Negative
soldier,Strong Negative
compet,Neutral
display,Neutral
leadership,Neutral
trump2020,Neutral
today,Neutral
trump2024,Neutral
gamear,Neutral
retweet,Neutral
wall,Strong Negative
ilk,Strong Negative
promot,Strong Negative
increas,Neutral
bitter,Neutral
anger,Neutral
competit,Neutral
lawabid,Strong Negative
wink,Strong Negative
nod,Strong Negative
weapon,Strong Negative
late,Strong Negative
teampetepictwittercommhxmvaqc48,Positive
31st,Negative
1st,Negative
primariescaucus,Negative
nonrepres,Negative
31stnot1stpictwittercomqqvscmorqw,Negative
cri,Negative
foul,Negative
ronjohnsonwi,Neutral
sob,Neutral
letter,Neutral
sign,Neutral
sinist,Neutral
sack,Neutral
undermin,Strong Negative
busi,Strong Negative
everybodi,Strong Negative
feder,Strong Negative
boundari,Strong Negative
besid,Neutral
prosecutor,Neutral
unaffili,Negative
bc,Negative
abd,Negative
propos,Neutral
medicar,Neutral
healthcar,Neutral
step,Neutral
direct,Neutral
establish,Neutral
list,Strong Negative
revord,Strong Negative
ltc,Strong Negative
vindman,Strong Negative
brother,Strong Negative
borden,Strong Negative
sondland,Strong Negative
trumpsvengencebegin,Strong Negative
mattress,Neutral
path,Negative
ia,Negative
consenu,Negative
explan,Strong Negative
slow,Negative
sc,Negative
firewal,Negative
partner,Negative
tgey,Negative
moral,Negative
convict,Negative
charg,Negative
ride,Negative
high,Negative
hors,Negative
accomplish,Negative
gratif,Negative
short,Neutral
liber,Neutral
hardi,Neutral
har,Neutral
supris,Strong Negative
boat,Strong Negative
lucif,Strong Negative
ration,Strong Negative
chase,Strong Negative
evil,Strong Negative
devil,Strong Negative
longer,Strong Negative
horn,Strong Negative
curiou,Negative
defend,Negative
repub,Neutral
cleans,Neutral
wh,Neutral
tooooooo,Neutral
unicorn,Strong Negative
repuls,Strong Negative
weasel,Strong Negative
repetebutticheat,Strong Negative
pontif,Strong Negative
endlessli,Strong Negative
petesbillionair,Strong Negative
carri,Neutral
water,Neutral
onward,Neutral
highli,Positive
boubt,Positive
reaction,Positive
diserv,Positive
issu,Positive
amjoy,Strong Negative
morn,Strong Negative
solidifi,Strong Negative
horrif,Strong Negative
